seriesID,Versus,teamID,teamName,position,games_played,games_counted,series_score
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,core,2,2,23340.9
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,mid,2,2,26048.17
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,support,2,2,22356.59
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,core,2,2,22312.69
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,mid,2,2,19229.18
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,support,2,2,22582.67
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,core,2,2,18887.77
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,mid,2,2,21220.78
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,support,2,2,17804.0
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,core,2,2,23725.56
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,mid,2,2,19015.58
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,support,2,2,14292.46
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,core,3,2,20874.19
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,mid,3,2,23436.11
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,support,3,2,18081.83
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,core,3,2,19627.5
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,mid,3,2,17496.78
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,support,3,2,18907.84
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,core,3,2,26267.03
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,mid,3,2,24415.9
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,support,3,2,20957.23
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,core,3,2,27762.73
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,mid,3,2,24041.82
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,support,3,2,23843.9
1130032,BoomBoys vs OG,8255888,BoomBoys,core,2,2,21736.02
1130032,BoomBoys vs OG,8255888,BoomBoys,mid,2,2,27981.37
1130032,BoomBoys vs OG,8255888,BoomBoys,support,2,2,18012.89
1130032,BoomBoys vs OG,2586976,OG,core,2,2,14382.98
1130032,BoomBoys vs OG,2586976,OG,mid,2,2,16313.0
1130032,BoomBoys vs OG,2586976,OG,support,2,2,19096.45
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,core,2,2,19436.57
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,mid,2,2,22644.36
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,support,2,2,20485.18
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,core,2,2,24883.85
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,mid,2,2,20813.8
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,support,2,2,20582.29
1130317,GamerLegion vs Vici Gaming,9964962,GamerLegion,core,3,2,25822.91
1130317,GamerLegion vs Vici Gaming,9964962,GamerLegion,mid,3,2,22340.53
1130317,GamerLegion vs Vici Gaming,9964962,GamerLegion,support,3,2,25737.88
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,core,3,2,22776.82
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,mid,3,2,23313.43
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,support,3,2,19419.78
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,core,2,2,21047.18
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,mid,2,2,18232.33
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,support,2,2,17091.16
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,core,2,2,11581.11
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,mid,2,2,11245.27
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,support,2,2,15400.1
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,core,2,2,16217.74
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,mid,2,2,14307.64
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,support,2,2,13980.9
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,core,2,2,21209.42
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,mid,2,2,19349.67
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,support,2,2,16357.33
