seriesID,Versus,teamID,teamName,position,players,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,roshan_kills,teamfight_participation,stuns,courier_kills,tormentor_kills,firstblood_claimed
1130566,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,core,Nightfall & Ws`,2140.0,2730.0,2535.0,2982.0,474.5,1760.0,,,,,,1172.0,3087.1,45.67,703.0,879.0,0.0
1130934,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,core,Nightfall & Ws`,909.5,2145.0,2967.0,2414.0,403.0,528.0,,,,,,2344.0,2629.65,1993.81,1054.5,439.5,0.0
1130566,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,mid,Mikoto,1070.0,3120.0,1503.0,2308.0,221.0,0.0,585.0,702.0,2961.0,588.0,0.0,1172.0,3065.75,291.33,0.0,0.0,0.0
1130934,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,mid,Mikoto,2247.0,1755.0,2688.0,2438.0,182.0,704.0,468.0,1170.0,2115.0,147.0,0.0,1172.0,3219.8,1769.04,0.0,879.0,0.0
1130566,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,1696.5,1755.0,916.5,2866.5,1904.5,0.0,2856.72,913.66,1406.0,0.0,967.0
1130934,Aurora Gaming vs BoomBoys,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,2281.5,1755.0,1339.5,3307.5,2051.0,0.0,3004.31,1076.82,351.5,0.0,1934.0
1130566,Aurora Gaming vs BoomBoys,8255888,BoomBoys,core,Kiritych~ & MieRo,749.0,2047.5,2071.5,2265.0,409.5,704.0,,,,,,1758.0,2878.58,658.34,351.5,439.5,967.0
1130934,Aurora Gaming vs BoomBoys,8255888,BoomBoys,core,Kiritych~ & MieRo,1819.0,2242.5,3394.5,3030.0,487.5,1408.0,,,,,,1172.0,3100.07,1217.49,0.0,0.0,0.0
1130566,Aurora Gaming vs BoomBoys,8255888,BoomBoys,mid,gpk~,642.0,2145.0,1950.0,2012.0,364.0,0.0,468.0,1170.0,2115.0,147.0,0.0,0.0,3588.44,1218.3,703.0,0.0,0.0
1130934,Aurora Gaming vs BoomBoys,8255888,BoomBoys,mid,gpk~,2033.0,2925.0,2739.0,2544.0,299.0,2464.0,351.0,468.0,1410.0,735.0,0.0,1172.0,3237.3,738.03,703.0,879.0,0.0
1130566,Aurora Gaming vs BoomBoys,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,1813.5,1638.0,493.5,2058.0,1465.0,0.0,2565.57,584.23,703.0,0.0,0.0
1130934,Aurora Gaming vs BoomBoys,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,2515.5,1053.0,1128.0,2278.5,2344.0,0.0,2638.33,805.67,351.5,0.0,0.0
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,core,Nightfall & Ws`,1819.0,2047.5,3550.5,2851.0,507.0,1936.0,,,,,,2344.0,2479.73,899.17,703.0,879.0,0.0
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,mid,Mikoto,2568.0,3120.0,3762.0,2936.0,507.0,352.0,468.0,936.0,4653.0,294.0,0.0,1172.0,3046.13,652.04,703.0,879.0,0.0
1130047,Aurora Gaming vs GamerLegion,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,2749.5,1521.0,1198.5,4924.5,2197.5,0.0,2532.4,722.7,2109.0,439.5,0.0
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,core,Ghost & Fayde,1016.5,1657.5,3547.5,2471.0,721.5,1408.0,,,,,,1758.0,2369.08,1275.62,351.5,0.0,967.0
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,mid,RCY,1605.0,1950.0,2868.0,2372.0,182.0,1056.0,351.0,234.0,1410.0,588.0,0.0,2344.0,3322.15,947.02,0.0,0.0,0.0
1130047,Aurora Gaming vs GamerLegion,9964962,GamerLegion,support,Speeed & Bignum,,,,,,,2691.0,1053.0,1692.0,2352.0,2197.5,0.0,2832.0,1839.16,3515.0,0.0,967.0
1130669,Aurora Gaming vs Team Liquid,9467224,Aurora Gaming,core,Nightfall & Ws`,1337.5,3120.0,2271.0,2694.0,357.5,1408.0,,,,,,586.0,2931.56,414.15,0.0,0.0,0.0
1130669,Aurora Gaming vs Team Liquid,9467224,Aurora Gaming,mid,Mikoto,1605.0,2535.0,2421.0,2468.0,559.0,352.0,468.0,1170.0,3666.0,735.0,0.0,0.0,3084.49,706.67,703.0,0.0,1934.0
1130669,Aurora Gaming vs Team Liquid,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,1872.0,2691.0,1198.5,2425.5,1758.0,0.0,2830.7,1304.83,703.0,0.0,0.0
1130669,Aurora Gaming vs Team Liquid,2163,Team Liquid,core,Ace ♠ & m1CKe,1391.0,2827.5,2680.5,2707.0,526.5,1584.0,,,,,,1758.0,2495.93,471.66,0.0,1758.0,967.0
